[2024-07-02 03:34:28] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-07-02 03:34:45] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\customize-widgets-rtl.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/customize-widgets-rtl.css
[2024-07-02 03:34:46] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\customize-widgets-rtl.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/customize-widgets-rtl.min.css
[2024-07-02 03:34:46] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\customize-widgets.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/customize-widgets.css
[2024-07-02 03:34:46] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\customize-widgets.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/customize-widgets.min.css
[2024-07-02 03:34:46] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\dashboard-rtl.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/dashboard-rtl.css
[2024-07-02 03:34:46] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\dashboard-rtl.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/dashboard-rtl.min.css
[2024-07-02 03:34:46] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\dashboard.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/dashboard.css
[2024-07-02 03:34:46] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\dashboard.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/dashboard.min.css
[2024-07-02 03:34:46] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\deprecated-media-rtl.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/deprecated-media-rtl.css
[2024-07-02 03:34:46] [class-ss-setup-task.php:150] Adding file C:\Users\ianki\Local Sites\test-website\app\public\wp-admin\css\deprecated-media-rtl.min.css to queue as: C:/Users/ianki/Local Sites/test-website/app/public/wp-admin/css/deprecated-media-rtl.min.css
